theme,approach,fold,wss95,wss95_threshold,roc_auc,best_f1,best_f1_threshold,precision_at_best_f1,recall_at_best_f1,n,n_errors,mean_latency_s,calibrated_recall,calibrated_precision,calibrated_excluded,calibrated_missed
mdwe,llama3.2:3b/few-shot-similar,2,-0.050000000000000044,1.0,0.5,0.6399999999999999,1.0,0.47058823529411764,1.0,17,0,6.61,,,,
mdwe,llama3.2:3b/few-shot-similar,3,0.04999999999999996,5.0,0.5769230769230769,0.56,5.0,0.3888888888888889,1.0,20,0,6.7,,,,
mdwe,llama3.2:3b/zero-shot,1,0.14999999999999997,3.0,0.6666666666666666,0.6666666666666666,3.0,0.5,1.0,25,0,5.19,,,,
mdwe,llama3.2:3b/zero-shot,2,0.00882352941176466,3.0,0.7222222222222222,0.7368421052631579,5.0,0.6363636363636364,0.875,17,0,9.26,,,,
mdwe,llama3.2:3b/zero-shot,3,0.35,5.0,0.8076923076923077,0.7368421052631579,5.0,0.5833333333333334,1.0,20,0,13.41,,,,
mdwe,qwen2.5:3b/few-shot-random,1,-0.010000000000000044,4.0,0.75,0.7,5.0,0.7,0.7,25,0,3.29,,,,
mdwe,qwen2.5:3b/few-shot-random,2,-0.050000000000000044,1.0,0.763888888888889,0.75,5.0,0.75,0.75,17,0,3.53,,,,
mdwe,qwen2.5:3b/few-shot-random,3,0.29999999999999993,6.0,0.7692307692307692,0.7000000000000001,6.0,0.5384615384615384,1.0,20,0,3.5,,,,
mdwe,qwen2.5:3b/few-shot-similar,1,-0.010000000000000044,4.0,0.66,0.6363636363636365,5.0,0.5833333333333334,0.7,25,0,4.85,,,,
mdwe,qwen2.5:3b/few-shot-similar,2,0.00882352941176466,4.0,0.5347222222222222,0.6666666666666666,4.0,0.5,1.0,17,0,5.06,,,,
mdwe,qwen2.5:3b/few-shot-similar,3,0.5,5.0,0.9340659340659341,0.8750000000000001,5.0,0.7777777777777778,1.0,20,0,4.76,,,,
mdwe,qwen2.5:3b/zero-shot,1,0.10999999999999996,2.0,0.6966666666666667,0.6451612903225806,2.0,0.47619047619047616,1.0,25,0,3.59,,,,
mdwe,qwen2.5:3b/zero-shot,2,0.06764705882352937,2.0,0.8472222222222222,0.7692307692307693,6.0,1.0,0.625,17,0,3.35,,,,
mdwe,qwen2.5:3b/zero-shot,3,0.29999999999999993,4.0,0.9285714285714286,0.8571428571428571,5.0,0.8571428571428571,0.8571428571428571,20,0,3.18,,,,
ontologies,gemma2:2b/few-shot-random,1,-0.018750000000000044,3.0,0.5185185185185186,0.27777777777777773,3.0,0.16129032258064516,1.0,32,0,3.89,,,,
ontologies,gemma2:2b/few-shot-random,2,-0.050000000000000044,1.0,0.5,0.19999999999999998,1.0,0.1111111111111111,1.0,63,0,4.17,,,,
ontologies,gemma2:2b/few-shot-random,3,0.004545454545454498,3.0,0.5288461538461539,0.1090909090909091,3.0,0.057692307692307696,1.0,55,0,4.02,,,,
ontologies,gemma2:2b/few-shot-similar,1,-0.018750000000000044,3.0,0.5185185185185186,0.27777777777777773,3.0,0.16129032258064516,1.0,32,0,4.29,,,,
ontologies,gemma2:2b/few-shot-similar,2,-0.050000000000000044,1.0,0.5,0.19999999999999998,1.0,0.1111111111111111,1.0,63,0,4.3,,,,
ontologies,gemma2:2b/few-shot-similar,3,-0.031818181818181863,3.0,0.5096153846153846,0.10526315789473684,3.0,0.05555555555555555,1.0,55,0,4.33,,,,
ontologies,gemma2:2b/zero-shot,1,-0.050000000000000044,1.0,0.6518518518518519,0.3636363636363636,5.0,0.23529411764705882,0.8,32,0,3.56,,,,
ontologies,gemma2:2b/zero-shot,2,-0.050000000000000044,1.0,0.7040816326530612,0.3157894736842105,4.0,0.1935483870967742,0.8571428571428571,63,0,2.94,,,,
ontologies,gemma2:2b/zero-shot,3,0.6227272727272727,5.0,0.8557692307692307,0.2857142857142857,5.0,0.16666666666666666,1.0,55,0,2.98,,,,
ontologies,llama3.2:3b/few-shot-random,1,0.043749999999999956,5.0,0.5555555555555556,0.29411764705882354,5.0,0.1724137931034483,1.0,32,0,4.46,,,,
ontologies,llama3.2:3b/few-shot-random,2,0.07698412698412693,5.0,0.5714285714285715,0.22580645161290322,5.0,0.12727272727272726,1.0,63,0,4.5,,,,
ontologies,llama3.2:3b/few-shot-random,3,0.0954545454545454,5.0,0.5769230769230769,0.12,5.0,0.06382978723404255,1.0,55,0,4.63,,,,
ontologies,llama3.2:3b/few-shot-similar,1,-0.050000000000000044,1.0,0.5,0.2702702702702703,1.0,0.15625,1.0,32,0,6.27,,,,
ontologies,llama3.2:3b/few-shot-similar,2,-0.03412698412698417,5.0,0.5089285714285714,0.2028985507246377,5.0,0.11290322580645161,1.0,63,0,6.06,,,,
ontologies,llama3.2:3b/few-shot-similar,3,0.04090909090909087,5.0,0.548076923076923,0.11320754716981131,5.0,0.06,1.0,55,0,5.94,,,,
ontologies,llama3.2:3b/zero-shot,1,-0.050000000000000044,1.0,0.562962962962963,0.3076923076923077,5.0,0.19047619047619047,0.8,32,0,4.35,,,,
